Category,Item,Price Per Unit,Quantity,Total Spent,Payment Method,Location,Transaction Date,Discount Applied,Year,Month,Day,Weekday
5,125,39.5,2,79.0,2,0,2022-01-06,1,2022,1,6,3
7,87,5.0,4,20.0,1,0,2022-01-06,1,2022,1,6,3
2,200,35.0,1,35.0,1,0,2022-01-06,0,2022,1,6,3
5,181,14.0,8,112.0,0,1,2022-01-07,0,2022,1,7,4
7,71,30.5,2,61.0,2,0,2022-01-07,0,2022,1,7,4
5,189,15.5,7,108.5,2,0,2022-01-07,1,2022,1,7,4
2,186,15.5,8,124.0,0,1,2022-01-07,1,2022,1,7,4
6,150,8.0,1,8.0,1,0,2022-01-07,1,2022,1,7,4
6,142,6.5,10,65.0,0,1,2022-01-07,0,2022,1,7,4
7,31,23.0,2,46.0,1,0,2022-01-07,1,2022,1,7,4
2,194,17.0,10,170.0,0,1,2022-01-07,0,2022,1,7,4
0,152,9.5,8,76.0,2,0,2022-01-07,0,2022,1,7,4
1,129,41.0,9,369.0,2,0,2022-01-07,0,2022,1,7,4
4,76,32.0,1,32.0,0,1,2022-01-07,0,2022,1,7,4
2,90,33.5,6,201.0,2,1,2022-01-07,0,2022,1,7,4
6,62,29.0,3,87.0,2,1,2022-01-08,0,2022,1,8,5
4,4,18.5,2,37.0,2,1,2022-01-08,0,2022,1,8,5
6,158,9.5,7,66.5,0,1,2022-01-08,1,2022,1,8,5
1,17,21.5,2,43.0,1,1,2022-01-08,0,2022,1,8,5
2,194,17.0,9,153.0,2,0,2022-01-08,0,2022,1,8,5
5,77,32.0,3,96.0,0,0,2022-01-08,1,2022,1,8,5
0,136,6.5,10,65.0,0,0,2022-01-08,0,2022,1,8,5
2,98,35.0,10,350.0,1,1,2022-01-08,0,2022,1,8,5
4,28,23.0,7,161.0,1,1,2022-01-08,1,2022,1,8,5
6,46,26.0,1,26.0,1,0,2022-01-08,1,2022,1,8,5
3,107,36.5,6,219.0,2,0,2022-01-08,0,2022,1,8,5
5,200,33.5,1,33.5,1,0,2022-01-08,0,2022,1,8,5
6,6,18.5,5,92.5,1,1,2022-01-08,1,2022,1,8,5
3,91,33.5,2,67.0,2,0,2022-01-08,0,2022,1,8,5
4,164,11.0,3,33.0,1,1,2022-01-09,0,2022,1,9,6
7,63,29.0,3,87.0,0,0,2022-01-09,0,2022,1,9,6
6,14,20.0,10,200.0,1,0,2022-01-09,1,2022,1,9,6
0,32,24.5,7,171.5,1,0,2022-01-09,0,2022,1,9,6
7,79,32.0,6,192.0,1,1,2022-01-09,1,2022,1,9,6
3,131,41.0,1,41.0,0,0,2022-01-09,0,2022,1,9,6
6,14,20.0,2,40.0,1,0,2022-01-09,0,2022,1,9,6
6,78,32.0,8,256.0,1,1,2022-01-09,1,2022,1,9,6
6,30,23.0,1,23.0,0,0,2022-01-09,0,2022,1,9,6
0,104,36.5,5,182.5,2,0,2022-01-09,0,2022,1,9,6
6,190,15.5,8,124.0,2,1,2022-01-09,0,2022,1,9,6
3,155,9.5,8,76.0,0,0,2022-01-09,1,2022,1,9,6
2,66,30.5,8,244.0,2,1,2022-01-09,0,2022,1,9,6
5,37,24.5,8,196.0,2,1,2022-01-09,1,2022,1,9,6
7,71,30.5,6,183.0,1,1,2022-01-10,0,2022,1,10,0
5,157,9.5,10,95.0,2,1,2022-01-10,0,2022,1,10,0
2,200,18.5,4,74.0,0,1,2022-01-10,0,2022,1,10,0
1,129,41.0,6,246.0,2,0,2022-01-10,1,2022,1,10,0
5,61,29.0,9,261.0,1,1,2022-01-10,0,2022,1,10,0
5,157,9.5,7,66.5,0,1,2022-01-10,0,2022,1,10,0
2,18,21.5,2,43.0,0,0,2022-01-10,0,2022,1,10,0
3,187,15.5,2,31.0,1,1,2022-01-10,1,2022,1,10,0
5,117,38.0,7,266.0,1,0,2022-01-10,1,2022,1,10,0
4,164,11.0,5,55.0,2,1,2022-01-10,1,2022,1,10,0
6,14,20.0,1,20.0,2,0,2022-01-10,1,2022,1,10,0
1,121,39.5,7,276.5,0,0,2022-01-11,1,2022,1,11,1
3,187,15.5,9,139.5,2,0,2022-01-11,0,2022,1,11,1
3,107,36.5,8,292.0,2,1,2022-01-11,1,2022,1,11,1
1,41,26.0,8,208.0,0,1,2022-01-11,1,2022,1,11,1
0,136,6.5,8,52.0,0,1,2022-01-11,1,2022,1,11,1
5,93,33.5,4,134.0,0,0,2022-01-11,0,2022,1,11,1
1,145,8.0,6,48.0,0,0,2022-01-11,1,2022,1,11,1
6,142,6.5,1,6.5,1,1,2022-01-11,0,2022,1,11,1
3,3,18.5,5,92.5,2,0,2022-01-11,0,2022,1,11,1
1,17,21.5,8,172.0,1,1,2022-01-11,0,2022,1,11,1
0,40,26.0,8,208.0,0,1,2022-01-11,0,2022,1,11,1
5,37,24.5,6,147.0,2,1,2022-01-11,1,2022,1,11,1
1,200,35.0,8,280.0,0,0,2022-01-11,0,2022,1,11,1
2,194,17.0,4,68.0,1,0,2022-01-12,0,2022,1,12,2
2,194,17.0,9,153.0,2,0,2022-01-12,1,2022,1,12,2
6,110,36.5,2,73.0,1,1,2022-01-12,1,2022,1,12,2
7,151,8.0,6,48.0,1,1,2022-01-12,0,2022,1,12,2
2,130,41.0,7,287.0,0,1,2022-01-12,1,2022,1,12,2
6,200,32.0,3,96.0,1,1,2022-01-12,0,2022,1,12,2
7,47,26.0,8,208.0,1,1,2022-01-12,0,2022,1,12,2
4,164,11.0,7,77.0,2,1,2022-01-12,0,2022,1,12,2
1,113,38.0,3,114.0,0,1,2022-01-12,1,2022,1,12,2
6,78,32.0,5,160.0,1,0,2022-01-12,0,2022,1,12,2
2,18,21.5,7,150.5,0,1,2022-01-12,0,2022,1,12,2
7,183,14.0,2,28.0,1,1,2022-01-13,0,2022,1,13,3
7,63,29.0,4,116.0,0,0,2022-01-13,1,2022,1,13,3
1,200,5.0,5,25.0,1,1,2022-01-13,1,2022,1,13,3
0,104,36.5,9,328.5,0,0,2022-01-13,0,2022,1,13,3
5,165,11.0,8,88.0,1,0,2022-01-13,0,2022,1,13,3
6,14,20.0,1,20.0,0,0,2022-01-13,1,2022,1,13,3
4,4,18.5,7,129.5,1,0,2022-01-13,0,2022,1,13,3
5,45,26.0,3,78.0,2,1,2022-01-13,0,2022,1,13,3
5,133,41.0,2,82.0,1,1,2022-01-13,0,2022,1,13,3
5,61,29.0,10,290.0,2,1,2022-01-13,1,2022,1,13,3
3,27,23.0,7,161.0,0,0,2022-01-13,0,2022,1,13,3
0,152,9.5,3,28.5,0,1,2022-01-13,1,2022,1,13,3
1,121,39.5,6,237.0,0,0,2022-01-13,0,2022,1,13,3
6,6,18.5,4,74.0,1,0,2022-01-13,1,2022,1,13,3
3,75,32.0,3,96.0,2,0,2022-01-13,0,2022,1,13,3
2,66,30.5,4,122.0,0,1,2022-01-13,1,2022,1,13,3
0,96,35.0,5,175.0,2,1,2022-01-13,0,2022,1,13,3
1,73,32.0,9,288.0,2,0,2022-01-13,0,2022,1,13,3
2,162,11.0,10,110.0,2,1,2022-01-13,0,2022,1,13,3
6,174,12.5,8,100.0,0,1,2022-01-14,1,2022,1,14,4
5,53,27.5,10,275.0,0,0,2022-01-14,1,2022,1,14,4
6,150,8.0,1,8.0,1,0,2022-01-14,1,2022,1,14,4
2,178,14.0,7,98.0,0,0,2022-01-14,0,2022,1,14,4
2,58,29.0,6,174.0,1,1,2022-01-14,1,2022,1,14,4
4,196,17.0,10,170.0,0,1,2022-01-14,1,2022,1,14,4
4,164,11.0,5,55.0,0,0,2022-01-14,1,2022,1,14,4
6,78,32.0,5,160.0,0,0,2022-01-14,0,2022,1,14,4
0,120,39.5,1,39.5,1,1,2022-01-14,0,2022,1,14,4
5,45,26.0,9,234.0,0,0,2022-01-14,0,2022,1,14,4
3,75,32.0,10,320.0,2,1,2022-01-14,0,2022,1,14,4
0,112,38.0,10,380.0,0,0,2022-01-14,0,2022,1,14,4
5,13,20.0,3,60.0,2,0,2022-01-14,0,2022,1,14,4
6,46,26.0,9,234.0,1,1,2022-01-14,0,2022,1,14,4
7,127,39.5,6,237.0,0,1,2022-01-14,0,2022,1,14,4
3,75,32.0,5,160.0,2,1,2022-01-14,1,2022,1,14,4
3,107,36.5,2,73.0,1,1,2022-01-15,1,2022,1,15,5
3,59,29.0,6,174.0,1,1,2022-01-15,1,2022,1,15,5
1,105,36.5,8,292.0,2,1,2022-01-15,1,2022,1,15,5
5,165,11.0,9,99.0,0,0,2022-01-15,0,2022,1,15,5
1,81,5.0,3,15.0,0,0,2022-01-15,0,2022,1,15,5
3,187,15.5,6,93.0,2,0,2022-01-15,0,2022,1,15,5
0,112,38.0,4,152.0,2,0,2022-01-15,0,2022,1,15,5
6,174,12.5,6,75.0,1,1,2022-01-15,1,2022,1,15,5
7,79,32.0,10,320.0,0,0,2022-01-15,1,2022,1,15,5
7,143,6.5,6,39.0,1,0,2022-01-15,0,2022,1,15,5
7,119,38.0,5,190.0,2,1,2022-01-15,0,2022,1,15,5
7,63,29.0,6,174.0,1,1,2022-01-16,1,2022,1,16,6
0,32,24.5,5,122.5,2,1,2022-01-16,0,2022,1,16,6
0,200,27.5,4,110.0,2,1,2022-01-16,0,2022,1,16,6
2,90,33.5,10,335.0,2,1,2022-01-16,0,2022,1,16,6
1,113,38.0,2,76.0,2,1,2022-01-16,1,2022,1,16,6
5,45,26.0,6,156.0,2,0,2022-01-16,0,2022,1,16,6
2,18,21.5,2,43.0,1,0,2022-01-16,1,2022,1,16,6
3,171,12.5,4,50.0,1,1,2022-01-16,0,2022,1,16,6
0,32,24.5,5,122.5,2,1,2022-01-16,1,2022,1,16,6
5,13,20.0,4,80.0,1,1,2022-01-16,0,2022,1,16,6
7,23,21.5,8,172.0,1,1,2022-01-17,0,2022,1,17,0
0,120,39.5,2,79.0,0,1,2022-01-17,1,2022,1,17,0
4,108,36.5,8,292.0,0,1,2022-01-17,0,2022,1,17,0
6,54,27.5,5,137.5,0,1,2022-01-17,0,2022,1,17,0
0,88,33.5,6,201.0,1,1,2022-01-17,0,2022,1,17,0
6,102,35.0,2,70.0,1,0,2022-01-17,0,2022,1,17,0
6,126,39.5,10,395.0,1,0,2022-01-17,0,2022,1,17,0
7,63,29.0,2,58.0,0,0,2022-01-17,0,2022,1,17,0
4,20,21.5,8,172.0,1,1,2022-01-17,0,2022,1,17,0
5,21,21.5,4,86.0,0,1,2022-01-17,1,2022,1,17,0
3,187,15.5,2,31.0,1,1,2022-01-17,1,2022,1,17,0
7,63,29.0,10,290.0,1,0,2022-01-18,1,2022,1,18,1
7,7,18.5,4,74.0,1,0,2022-01-18,0,2022,1,18,1
0,72,32.0,6,192.0,1,0,2022-01-18,1,2022,1,18,1
4,20,21.5,10,215.0,0,0,2022-01-18,0,2022,1,18,1
1,17,21.5,2,43.0,1,1,2022-01-18,0,2022,1,18,1
6,200,27.5,4,110.0,1,0,2022-01-18,0,2022,1,18,1
7,15,20.0,3,60.0,2,1,2022-01-18,1,2022,1,18,1
4,92,33.5,9,301.5,0,0,2022-01-18,1,2022,1,18,1
1,145,8.0,2,16.0,0,0,2022-01-18,1,2022,1,18,1
2,66,30.5,10,305.0,0,0,2022-01-18,1,2022,1,18,1
4,60,29.0,10,290.0,2,0,2022-01-18,0,2022,1,18,1
2,26,23.0,3,69.0,0,1,2022-01-18,1,2022,1,18,1
3,67,30.5,3,91.5,2,1,2022-01-19,0,2022,1,19,2
7,119,38.0,7,266.0,2,1,2022-01-19,0,2022,1,19,2
6,200,32.0,2,64.0,1,0,2022-01-19,1,2022,1,19,2
5,133,41.0,10,410.0,2,1,2022-01-19,1,2022,1,19,2
2,138,6.5,6,39.0,2,0,2022-01-19,0,2022,1,19,2
0,72,32.0,6,192.0,1,0,2022-01-19,1,2022,1,19,2
4,28,23.0,10,230.0,0,1,2022-01-19,0,2022,1,19,2
7,175,12.5,4,50.0,1,0,2022-01-19,0,2022,1,19,2
7,95,33.5,5,167.5,1,0,2022-01-19,0,2022,1,19,2
3,131,41.0,4,164.0,0,0,2022-01-19,1,2022,1,19,2
1,153,9.5,9,85.5,0,0,2022-01-19,0,2022,1,19,2
2,106,36.5,4,146.0,2,0,2022-01-20,1,2022,1,20,3
4,164,11.0,5,55.0,1,1,2022-01-20,0,2022,1,20,3
1,17,21.5,9,193.5,0,1,2022-01-20,0,2022,1,20,3
0,56,29.0,3,87.0,1,0,2022-01-20,0,2022,1,20,3
0,72,32.0,6,192.0,0,0,2022-01-20,0,2022,1,20,3
4,68,30.5,2,61.0,0,0,2022-01-20,0,2022,1,20,3
6,150,8.0,10,80.0,2,0,2022-01-20,0,2022,1,20,3
3,75,32.0,6,192.0,1,0,2022-01-20,0,2022,1,20,3
3,27,23.0,8,184.0,0,1,2022-01-20,1,2022,1,20,3
4,132,41.0,2,82.0,1,0,2022-01-20,0,2022,1,20,3
2,186,15.5,8,124.0,0,1,2022-01-20,1,2022,1,20,3
1,200,27.5,4,110.0,0,0,2022-01-20,0,2022,1,20,3
0,8,20.0,5,100.0,0,1,2022-01-20,0,2022,1,20,3
4,172,12.5,7,87.5,0,1,2022-01-20,0,2022,1,20,3
3,91,33.5,5,167.5,1,0,2022-01-21,0,2022,1,21,4
0,16,21.5,8,172.0,0,1,2022-01-21,0,2022,1,21,4
0,120,39.5,7,276.5,2,0,2022-01-21,0,2022,1,21,4
7,39,24.5,2,49.0,2,0,2022-01-21,0,2022,1,21,4
4,132,41.0,1,41.0,2,1,2022-01-21,0,2022,1,21,4
1,113,38.0,6,228.0,0,1,2022-01-21,1,2022,1,21,4
3,195,17.0,5,85.0,0,1,2022-01-21,0,2022,1,21,4
5,45,26.0,5,130.0,2,0,2022-01-21,0,2022,1,21,4
7,87,5.0,6,30.0,2,0,2022-01-21,1,2022,1,21,4
2,194,17.0,8,136.0,0,1,2022-01-21,1,2022,1,21,4
5,157,9.5,2,19.0,1,1,2022-01-21,0,2022,1,21,4
1,49,27.5,7,192.5,0,0,2022-01-21,0,2022,1,21,4
6,110,36.5,2,73.0,1,0,2022-01-21,1,2022,1,21,4
3,187,15.5,9,139.5,2,0,2022-01-21,0,2022,1,21,4
3,11,20.0,6,120.0,2,0,2022-01-21,0,2022,1,21,4
1,137,6.5,2,13.0,1,0,2022-01-21,1,2022,1,21,4
7,63,29.0,10,290.0,0,0,2022-01-21,1,2022,1,21,4
3,91,33.5,1,33.5,1,1,2022-01-21,0,2022,1,21,4
5,13,20.0,9,180.0,1,0,2022-01-21,0,2022,1,21,4
2,58,29.0,5,145.0,2,1,2022-01-22,0,2022,1,22,5
2,114,38.0,5,190.0,0,0,2022-01-22,0,2022,1,22,5
5,53,27.5,5,137.5,0,0,2022-01-22,0,2022,1,22,5
0,48,27.5,9,247.5,2,1,2022-01-22,1,2022,1,22,5
5,125,39.5,6,237.0,1,0,2022-01-22,1,2022,1,22,5
1,49,27.5,10,275.0,0,0,2022-01-22,1,2022,1,22,5
6,174,12.5,2,25.0,0,1,2022-01-22,0,2022,1,22,5
2,200,32.0,9,288.0,2,0,2022-01-22,0,2022,1,22,5
3,43,26.0,7,182.0,0,0,2022-01-23,1,2022,1,23,6
1,41,26.0,8,208.0,1,1,2022-01-23,0,2022,1,23,6
4,156,9.5,3,28.5,2,0,2022-01-23,0,2022,1,23,6
6,14,20.0,8,160.0,2,1,2022-01-23,1,2022,1,23,6
1,161,11.0,6,66.0,1,1,2022-01-23,1,2022,1,23,6
4,100,35.0,7,245.0,1,1,2022-01-23,0,2022,1,23,6
3,51,27.5,9,247.5,1,1,2022-01-23,0,2022,1,23,6
5,133,41.0,3,123.0,2,1,2022-01-23,1,2022,1,23,6
5,37,24.5,10,245.0,1,1,2022-01-23,0,2022,1,23,6
6,150,8.0,7,56.0,0,0,2022-01-23,0,2022,1,23,6
1,105,36.5,1,36.5,2,1,2022-01-23,0,2022,1,23,6
1,25,23.0,7,161.0,2,1,2022-01-23,0,2022,1,23,6
5,29,23.0,6,138.0,0,0,2022-01-23,1,2022,1,23,6
1,25,23.0,7,161.0,1,0,2022-01-23,1,2022,1,23,6
7,15,20.0,4,80.0,2,1,2022-01-23,0,2022,1,23,6
5,173,12.5,5,62.5,2,1,2022-01-23,1,2022,1,23,6
5,125,39.5,4,158.0,2,1,2022-01-23,1,2022,1,23,6
6,86,5.0,10,50.0,2,1,2022-01-23,0,2022,1,23,6
2,66,30.5,5,152.5,2,1,2022-01-24,0,2022,1,24,0
1,200,21.5,8,172.0,1,1,2022-01-24,1,2022,1,24,0
5,133,41.0,1,41.0,1,0,2022-01-24,0,2022,1,24,0
6,110,36.5,7,255.5,1,1,2022-01-24,0,2022,1,24,0
2,10,20.0,6,120.0,0,0,2022-01-24,1,2022,1,24,0
2,18,21.5,4,86.0,2,1,2022-01-24,0,2022,1,24,0
3,187,15.5,6,93.0,2,1,2022-01-24,1,2022,1,24,0
2,74,32.0,7,224.0,2,1,2022-01-24,1,2022,1,24,0
1,169,12.5,5,62.5,2,1,2022-01-24,0,2022,1,24,0
2,50,27.5,7,192.5,2,1,2022-01-24,1,2022,1,24,0
6,62,29.0,5,145.0,0,0,2022-01-24,0,2022,1,24,0
7,23,21.5,5,107.5,2,1,2022-01-25,0,2022,1,25,1
4,188,15.5,5,77.5,2,1,2022-01-25,0,2022,1,25,1
2,170,12.5,1,12.5,2,0,2022-01-25,1,2022,1,25,1
6,126,39.5,4,158.0,1,1,2022-01-25,0,2022,1,25,1
1,200,36.5,6,219.0,0,1,2022-01-25,0,2022,1,25,1
6,200,32.0,9,288.0,0,1,2022-01-25,1,2022,1,25,1
6,78,32.0,4,128.0,2,1,2022-01-25,0,2022,1,25,1
7,31,23.0,8,184.0,2,1,2022-01-25,1,2022,1,25,1
2,34,24.5,9,220.5,1,1,2022-01-26,0,2022,1,26,2
1,65,30.5,6,183.0,2,0,2022-01-26,0,2022,1,26,2
4,60,29.0,3,87.0,0,0,2022-01-26,1,2022,1,26,2
0,48,27.5,7,192.5,0,1,2022-01-26,0,2022,1,26,2
3,115,38.0,6,228.0,1,1,2022-01-26,0,2022,1,26,2
7,71,30.5,10,305.0,1,0,2022-01-26,0,2022,1,26,2
2,90,33.5,3,100.5,0,0,2022-01-26,0,2022,1,26,2
1,41,26.0,8,208.0,0,0,2022-01-26,1,2022,1,26,2
4,172,12.5,10,125.0,0,0,2022-01-26,0,2022,1,26,2
6,126,39.5,5,197.5,1,1,2022-01-26,1,2022,1,26,2
2,66,30.5,7,213.5,1,1,2022-01-26,1,2022,1,26,2
7,127,39.5,9,355.5,1,1,2022-01-26,1,2022,1,26,2
1,41,26.0,9,234.0,1,0,2022-01-26,1,2022,1,26,2
5,165,11.0,5,55.0,1,1,2022-01-26,1,2022,1,26,2
2,200,26.0,1,26.0,0,0,2022-01-26,1,2022,1,26,2
4,200,11.0,7,77.0,2,1,2022-01-26,0,2022,1,26,2
7,15,20.0,9,180.0,0,0,2022-01-27,0,2022,1,27,3
0,200,32.0,2,64.0,0,1,2022-01-27,1,2022,1,27,3
6,38,24.5,8,196.0,0,0,2022-01-27,1,2022,1,27,3
0,88,33.5,3,100.5,2,1,2022-01-27,0,2022,1,27,3
7,15,20.0,6,120.0,1,1,2022-01-27,1,2022,1,27,3
6,30,23.0,7,161.0,1,1,2022-01-27,1,2022,1,27,3
7,167,11.0,8,88.0,1,1,2022-01-27,0,2022,1,27,3
5,93,33.5,3,100.5,0,0,2022-01-27,0,2022,1,27,3
5,173,12.5,10,125.0,1,1,2022-01-27,0,2022,1,27,3
7,79,32.0,9,288.0,0,1,2022-01-28,1,2022,1,28,4
4,164,11.0,4,44.0,2,1,2022-01-28,0,2022,1,28,4
4,132,41.0,10,410.0,2,1,2022-01-28,0,2022,1,28,4
5,45,26.0,10,260.0,2,0,2022-01-28,0,2022,1,28,4
5,117,38.0,10,380.0,1,1,2022-01-28,0,2022,1,28,4
7,95,33.5,8,268.0,0,0,2022-01-28,1,2022,1,28,4
2,42,26.0,4,104.0,1,0,2022-01-28,0,2022,1,28,4
2,58,29.0,1,29.0,1,1,2022-01-28,1,2022,1,28,4
3,200,35.0,8,280.0,2,0,2022-01-28,0,2022,1,28,4
4,156,9.5,3,28.5,1,0,2022-01-29,1,2022,1,29,5
5,165,11.0,1,11.0,2,0,2022-01-29,0,2022,1,29,5
6,110,36.5,8,292.0,1,0,2022-01-29,1,2022,1,29,5
4,12,20.0,6,120.0,0,1,2022-01-29,1,2022,1,29,5
1,65,30.5,9,274.5,0,1,2022-01-29,0,2022,1,29,5
6,14,20.0,10,200.0,2,1,2022-01-29,0,2022,1,29,5
2,58,29.0,9,261.0,2,0,2022-01-29,0,2022,1,29,5
5,101,35.0,10,350.0,0,1,2022-01-29,1,2022,1,29,5
4,196,17.0,7,119.0,2,0,2022-01-29,0,2022,1,29,5
2,98,35.0,3,105.0,0,1,2022-01-30,0,2022,1,30,6
2,170,12.5,9,112.5,0,1,2022-01-30,1,2022,1,30,6
6,150,8.0,4,32.0,2,0,2022-01-30,0,2022,1,30,6
1,73,32.0,6,192.0,1,1,2022-01-30,1,2022,1,30,6
1,17,21.5,10,215.0,0,1,2022-01-30,0,2022,1,30,6
2,186,15.5,5,77.5,0,0,2022-01-30,0,2022,1,30,6
1,137,6.5,5,32.5,1,1,2022-01-30,1,2022,1,30,6
0,184,15.5,1,15.5,2,1,2022-01-30,0,2022,1,30,6
1,41,26.0,10,260.0,1,1,2022-01-30,0,2022,1,30,6
2,42,26.0,6,156.0,2,1,2022-01-30,1,2022,1,30,6
5,45,26.0,4,104.0,1,1,2022-01-30,0,2022,1,30,6
1,169,12.5,6,75.0,2,0,2022-01-30,0,2022,1,30,6
4,148,8.0,7,56.0,2,0,2022-01-30,0,2022,1,30,6
0,160,11.0,9,99.0,2,0,2022-01-30,0,2022,1,30,6
4,28,23.0,10,230.0,1,1,2022-01-31,0,2022,1,31,0
3,19,21.5,9,193.5,0,0,2022-01-31,0,2022,1,31,0
3,107,36.5,9,328.5,2,1,2022-01-31,0,2022,1,31,0
3,51,27.5,7,192.5,0,1,2022-01-31,0,2022,1,31,0
0,88,33.5,9,301.5,2,0,2022-01-31,1,2022,1,31,0
6,86,5.0,5,25.0,0,1,2022-01-31,1,2022,1,31,0
1,89,33.5,10,335.0,0,1,2022-01-31,0,2022,1,31,0
1,73,32.0,4,128.0,2,1,2022-01-31,0,2022,1,31,0
0,88,33.5,3,100.5,0,1,2022-01-31,0,2022,1,31,0
0,32,24.5,10,245.0,0,1,2022-01-31,1,2022,1,31,0
1,145,8.0,2,16.0,0,1,2022-01-31,0,2022,1,31,0
1,17,21.5,10,215.0,1,0,2022-01-31,0,2022,1,31,0
1,17,21.5,5,107.5,2,1,2022-02-01,1,2022,2,1,1
7,127,39.5,6,237.0,1,0,2022-02-01,0,2022,2,1,1
2,194,17.0,1,17.0,2,0,2022-02-01,0,2022,2,1,1
6,78,32.0,4,128.0,0,0,2022-02-01,1,2022,2,1,1
7,143,6.5,3,19.5,0,1,2022-02-01,0,2022,2,1,1
6,150,8.0,5,40.0,1,0,2022-02-01,0,2022,2,1,1
1,145,8.0,9,72.0,1,1,2022-02-01,1,2022,2,1,1
5,53,27.5,4,110.0,2,0,2022-02-01,0,2022,2,1,1
5,125,39.5,7,276.5,2,0,2022-02-01,0,2022,2,1,1
4,156,9.5,6,57.0,2,0,2022-02-01,1,2022,2,1,1
5,85,5.0,9,45.0,2,0,2022-02-01,1,2022,2,1,1
5,117,38.0,8,304.0,0,1,2022-02-01,0,2022,2,1,1
5,85,5.0,2,10.0,2,1,2022-02-02,1,2022,2,2,2
2,18,21.5,8,172.0,1,1,2022-02-02,0,2022,2,2,2
1,169,12.5,10,125.0,0,1,2022-02-02,1,2022,2,2,2
3,99,35.0,3,105.0,1,1,2022-02-02,0,2022,2,2,2
5,61,29.0,5,145.0,2,0,2022-02-02,0,2022,2,2,2
